fi	sv	en
A-rakennus		A-flygeln
A-rakennus		A-huset
A-rakennus		annex A
A-rakennus		hus A
A-rakennus	Building A	
A-siipi		A-flygeln
A-siipi		A-huset
A-siipi		annex A
A-siipi		hus A
A-siipi	Building A	
ASEP-valtuuskunta		ASEP-delegationen
ASEP-valtuuskunta		Finlands delegation i parlamentariska partnerskapet Asien-Europa
ASEP-valtuuskunta	Finnish ASEP Delegation	
ASEP-valtuuskunta	Finnish Delegation to the Asia-Europe Parliamentary Partnership (ASEP) Meeting	
Aasian ja Euroopan parlamentaarisen kokouksen Suomen valtuuskunta		ASEP-delegationen
Aasian ja Euroopan parlamentaarisen kokouksen Suomen valtuuskunta		Finlands delegation i parlamentariska partnerskapet Asien-Europa
Aasian ja Euroopan parlamentaarisen kokouksen Suomen valtuuskunta	Finnish ASEP Delegation	
Aasian ja Euroopan parlamentaarisen kokouksen Suomen valtuuskunta	Finnish Delegation to the Asia-Europe Parliamentary Partnership (ASEP) Meeting	
Ahvenanmaan itsehallinto		Ålands självstyrelse
Ahvenanmaan itsehallinto	autonomy of the Åland Islands	
Arkadianmäki		Arkadiabacken
Arkadianmäki		Arkadiebacken
Arkadianmäki		Granitborgen
Arkadianmäki	Arkadianmäki Hill	
Arktisen alueen parlamentaarikkokonferenssi		Arktiska parlamentarikerkonferensen
Arktisen alueen parlamentaarikkokonferenssi	Conference of Parliamentarians of the Arctic Region	
Arktisen alueen parlamentaarikkokonferenssin Suomen valtuuskunta		Finlands delegation i Arktiska parlamentarikerkonferensen
Arktisen alueen parlamentaarikkokonferenssin Suomen valtuuskunta	Finnish Delegation to the Conference of Parliamentarians of the Arctic Region	
AyJ		BmD
AyJ		bostads- och miljödelegationen
AyJ	Housing and Environment Sub-committee	
B-rakennus		B-flygeln
B-rakennus		B-huset
B-rakennus		annex B
B-rakennus		hus B
B-rakennus	Building B	
B-siipi		B-flygeln
B-siipi		B-huset
B-siipi		annex B
B-siipi		hus B
B-siipi	Building B	
C-rakennus		C-huset
C-rakennus		hus C
C-rakennus	Building C	
C-talo		C-huset
C-talo		hus C
C-talo	Building C	
COSAC		Cosac
COSAC		Konferensen mellan organen för gemenskaps- och EU-frågor vid Europeiska unionens parlament
COSAC	COSAC	
COSAC	Conference of Community and European Affairs Committees of Parliaments of the European Union	
D-rakennus		D-huset
D-rakennus		hus D
D-rakennus	Building D	
D-talo		D-huset
D-talo		hus D
D-talo	Building D	
E-asia		E-ärende
E-asia	Europe matter	
E-jatkokirjelmä		EK
E-jatkokirjelmä		kompletterande E-skrivelse
E-jatkokirjelmä	follow-up Europe communication	
E-kirjelmä		E-skrivelse
E-kirjelmä		statsrådets utredning om ett EU-ärende
E-kirjelmä	Europe communication	
E-kirjelmä	government report on a European Union matter	
E-rakennus		E-huset
E-rakennus		Riksdagshuset
E-rakennus		hus E
E-rakennus		huvudbyggnaden
E-rakennus		riksdagens huvudbyggnad
E-rakennus	Building E	
E-rakennus	Eduskuntatalo	
E-rakennus	Parliament Building	
E-talo		E-huset
E-talo		Riksdagshuset
E-talo		hus E
E-talo		huvudbyggnaden
E-talo		riksdagens huvudbyggnad
E-talo	Building E	
E-talo	Eduskuntatalo	
E-talo	Parliament Building	
EJ		EK
EJ		kompletterande E-skrivelse
EJ	follow-up Europe communication	
ETYJ:n parlamentaarinen yleiskokous		OSSE:s parlamentariska församling
ETYJ:n parlamentaarinen yleiskokous		Parlamentariska församlingen för Organisationen för säkerhet och samarbete i Europa
ETYJ:n parlamentaarinen yleiskokous	Parliamentary Assembly of OSCE	
ETYJ:n parlamentaarinen yleiskokous	Parliamentary Assembly of the Organisation for Security and Co-operation in Europe	
ETYJ:n parlamentaarisen yleiskokouksen Suomen valtuuskunta		Finlands delegation i OSSE:s parlamentariska församling
ETYJ:n parlamentaarisen yleiskokouksen Suomen valtuuskunta		OSSEFD
ETYJ:n parlamentaarisen yleiskokouksen Suomen valtuuskunta	Finnish Delegation to the OSCE Parliamentary Assembly	
ETYJ:n parlamentaarisen yleiskokouksen Suomen valtuuskunta	Finnish Delegation to the Parliamentary Assembly of the Organisation for Security and Co-operation in Europe	
EU-sihteeristö		EU-sekretariatet
EU-sihteeristö	EU Secretariat	
Eduskunnan kahvila		riksdagshusets kafé
Eduskunnan kahvila		riksdagskaféet
Eduskunnan kahvila	Parliament Cafeteria	
Eduskunnan kirjasto		Riksdagsbiblioteket
Eduskunnan kirjasto	Library of Parliament	
Eduskunnan kirjaston hallitus		Riksdagsbibliotekets styrelse
Eduskunnan kirjaston hallitus		biblioteksstyrelsen
Eduskunnan kirjaston hallitus	Board of the Library of Parliament	
Eduskunnan kirjaston kertomus		Riksdagsbibliotekets berättelse
Eduskunnan kirjaston kertomus		biblioteksberättelsen
Eduskunnan kirjaston kertomus	Report of the Library of Parliament	
